rank,country,flag,incarceration_rate_per_100k,estimated_prison_population
1,China,🇨🇳,165,1952658
2,United States,🇺🇸,614,1726496
3,Brazil,🇧🇷,390,664204
4,India,🇮🇳,41,448400
5,Russia,🇷🇺,300,356201
6,Türkiye,🇹🇷,366,245864
7,Thailand,🇹🇭,377,230337
8,Indonesia,🇮🇩,93,198793
9,Mexico,🇲🇽,174,171890
10,Iran,🇮🇷,228,161924
11,Philippines,🇵🇭,162,135368
12,South Africa,🇿🇦,258,122394
13,Vietnam,🇻🇳,135,104671
14,Egypt,🇪🇬,116,91933
15,Argentina,🇦🇷,254,90993
16,United Kingdom,🇬🇧,146,83701
17,Colombia,🇨🇴,198,83487
18,Ethiopia,🇪🇹,99,79673
19,Morocco,🇲🇦,270,76464
20,Myanmar,🇲🇲,183,75499
21,Cuba,🇨🇺,794,73846
22,Peru,🇵🇪,277,72063
23,Algeria,🇩🇿,217,70777
24,Bangladesh,🇧🇩,50,62492
25,France,🇫🇷,109,62357
26,Poland,🇵🇱,199,61974
27,Pakistan,🇵🇰,38,60455
28,Malaysia,🇲🇾,217,60350
29,Rwanda,🇷🇼,637,56885
30,Saudi Arabia,🇸🇦,207,55667
31,Italy,🇮🇹,105,54570
32,Iraq,🇮🇶,179,52267
33,El Salvador,🇸🇻,1086,51758
